"Serial Number","Model","Mac Address","Part Number","Device Type","Source","Flex","Subscription Key","Subscription Tier","Subscription Tier Description","Subscription Expiration","Archived","Application Id","Application Name","Application Instance Name","Make","Age","Ccs Region","Tags","Tags Count","Subscription Key Type","Device Name","Secondary Name","Account Name","Tenant Platform Customer Id","Contact Id","Contact Name","Location Id","Location Name"
"CNJPHN745S","IAP-325-RW","F4:2E:7F:CB:70:92","JW325A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"TW98FP52GH","2530","38:21:C7:E4:7F:E0","J9774A","SWITCH","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CND7JSTB1K","IAP-207-RW","44:48:C1:C8:25:AE","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CN81FP56CD","2530","04:09:73:0F:92:40","J9774A","SWITCH","MANAGED","false","","","","","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"CNG5K9T1KS","AP-303-RW","90:4C:81:CB:13:36","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","39f40d45-5c50-5369-be11-0775a286d59a",""
"CNFYJST09K","IAP-207-RW","80:8D:B7:CB:C4:E0","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CU0442246","IAP-103-RW","F0:5C:19:CD:19:9E","IAP-103-RW","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"PHK8K9T0QC","AP-303-RW","D0:D3:E0:C3:67:4A","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Mart Minas Distribuição","09811f721eb811eda8cea65d569b2cf1","","","1502bab0-30ad-5d49-ba07-2924faa047c1",""
"CNMGK9T3CJ","AP-303-RW","FC:7F:F1:CD:84:AE","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 7mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","e113e147-cd6d-57ee-b2b7-5ee407554035",""
"CNNHK9T62D","AP-303-RW","F0:61:C0:C1:3F:00","JZ320A","IAP","MANAGED","false","PADED6YHJAC9HH","FOUNDATION_AP","Foundation AP","Nov 24, 2027","false","683da368-66cb-4ee7-90a9-ec1964768092","HPE Aruba Networking Central","Central_Prod","HPE","4yr 4mo","US West","","","BASE","","","Supermercados BH","a18b9db41eaf11eda8cea65d569b2cf1","","","360d2bc8-7571-5c72-9aed-ae1a0d336e07",""
"CNFYJST126","IAP-207-RW","80:8D:B7:CB:C9:74","JX954A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
"CNGTK9T1TQ","AP-303-RW","9C:8C:D8:C6:F9:5A","JZ320A","IAP","MANAGED","false","","","","","false","","","","HPE","4yr 7mo","","","","","","","","","","","",""
